iter	RMSE
0	21.52098408
1	19.63579977
2	17.97479353
3	16.50001173
4	15.2011996
5	14.06140992
6	13.07358455
7	12.19483898
8	11.43836018
9	10.81813493
10	10.2468629
11	9.766263802
12	9.359598672
13	9.0032604
14	8.722534492
15	8.47278906
16	8.259027209
17	8.081625039
18	7.938041539
19	7.819440737
20	7.721713023
21	7.641408688
22	7.569779171
23	7.510961017
24	7.461090741
25	7.423669476
26	7.392249561
27	7.361180251
28	7.338468145
29	7.320322606
30	7.305323917
31	7.292807987
32	7.283466916
33	7.276251945
34	7.271112003
35	7.261960626
36	7.25498218
37	7.24958823
38	7.242958079
39	7.238660483
40	7.234764051
41	7.23056565
42	7.228909446
43	7.227446354
44	7.225872978
45	7.223608916
46	7.22070517
47	7.218881871
48	7.216117178
49	7.214822392
50	7.213014387
51	7.211290085
52	7.210135149
53	7.208853913
54	7.20812906
55	7.207596162
56	7.207057442
57	7.20626221
58	7.205515996
59	7.204250642
60	7.203513469
61	7.20217991
62	7.201702865
63	7.201406103
64	7.200372983
65	7.199045885
66	7.198675621
67	7.197841789
68	7.197481108
69	7.196822683
70	7.195297897
71	7.194964907
72	7.194530645
73	7.193343945
74	7.193018773
75	7.192886641
76	7.192619359
77	7.191776907
78	7.191556312
79	7.191257623
80	7.191065693
81	7.190500258
82	7.189657956
83	7.189432111
84	7.189281962
85	7.189075328
86	7.188761742
87	7.18845522
88	7.188294401
89	7.187853347
90	7.18720164
91	7.186939069
92	7.186803307
93	7.186529002
94	7.186479935
95	7.186335023
96	7.186179903
97	7.185980441
98	7.185438677
99	7.185047879
