,units
0,2.0
1,1.0
2,4.0
3,1.0
4,3.0
5,1.0
6,1.0
7,1.0
8,4.0
9,1.0
10,1.0
11,1.0
12,3.0
13,2.0
14,1.0
15,3.0
16,1.0
17,1.0
18,1.0
19,3.0
20,2.0
21,21.0
22,30.0
23,5.0
24,2.0
25,1.0
26,20.0
27,3.0
28,2.0
29,5.0
30,2.0
31,1.0
32,35.0
33,15.0
34,1.0
35,1.0
36,3.0
37,2.0
38,1.0
39,4.0
40,1.0
41,9.0
42,7.0
43,5.0
44,1.0
45,1.0
46,4.0
47,1.0
48,4.0
49,1.0
50,3.0
51,1.0
52,1.0
53,2.0
54,2.0
55,1.0
56,2.0
57,3.0
58,3.0
59,2.0
60,64.0
61,52.0
62,6.0
63,20.0
64,2.0
65,1.0
66,2.0
67,3.0
68,1.0
69,1.0
70,1.0
71,1.0
72,2.0
73,4.0
74,1.0
75,6.0
76,20.0
77,25.0
78,3.0
79,2.0
80,4.0
81,7.0
82,1.0
83,8.0
84,1.0
85,1.0
86,2.0
87,3.0
88,1.0
89,2.0
90,15.0
91,51.0
92,8.0
93,35.0
94,14.0
95,2.0
96,5.0
97,1.0
98,1.0
99,1.0
100,2.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,5.0
107,1.0
108,1.0
109,79.0
110,44.0
111,7.0
112,7.0
113,1.0
114,1.0
115,3.0
116,1.0
117,1.0
118,2.0
119,1.0
120,3.0
121,2.0
122,1.0
123,1.0
124,1.0
125,3.0
126,3.0
127,1.0
128,4.0
129,4.0
130,1.0
131,4.0
132,1.0
133,1.0
134,8.0
135,12.0
136,3.0
137,1.0
138,2.0
139,20.0
140,1.0
141,1.0
142,2.0
143,2.0
144,2.0
145,1.0
146,1.0
147,2.0
148,2.0
149,1.0
150,1.0
151,5.0
152,5.0
153,4.0
154,2.0
155,4.0
156,3.0
157,3.0
158,2.0
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,2.0
167,1.0
168,37.0
169,35.0
170,7.0
171,10.0
172,1.0
173,136.0
174,63.0
175,55.0
176,13.0
177,2.0
178,4.0
179,1.0
180,8.0
181,19.0
182,19.0
183,22.0
184,17.0
185,23.0
186,9.0
187,5.0
188,1.0
189,1.0
190,4.0
191,1.0
192,1.0
193,2.0
194,9.0
195,5.0
196,3.0
197,1.0
198,71.0
199,45.0
200,2.0
201,6.0
202,1.0
203,1.0
204,2.0
205,2.0
206,2.0
207,1.0
208,1.0
209,1.0
210,4.0
211,1.0
212,4.0
213,1.0
214,2.0
215,2.0
216,1.0
217,2.0
218,3.0
219,4.0
220,2.0
221,1.0
222,1.0
223,1.0
224,10.0
225,8.0
226,8.0
227,3.0
228,3.0
229,1.0
230,20.0
231,26.0
232,22.0
233,20.0
234,32.0
235,7.0
236,7.0
237,1.0
238,1.0
239,1.0
240,2.0
241,22.0
242,9.0
243,11.0
244,14.0
245,1.0
246,12.0
247,165.0
248,91.0
249,22.0
250,59.0
251,2.0
252,1.0
253,4.0
254,13.0
255,1.0
256,6.0
257,1.0
258,2.0
259,1.0
260,1.0
261,2.0
262,2.0
263,1.0
264,1.0
265,5.0
266,5.0
267,7.0
268,1.0
269,16.0
270,30.0
271,9.0
272,5.0
273,5.0
274,17.0
275,5.0
276,11.0
277,6.0
278,8.0
279,10.0
280,13.0
281,22.0
282,62.0
283,82.0
284,60.0
285,58.0
286,57.0
287,31.0
288,17.0
289,20.0
290,16.0
291,2.0
292,3.0
293,4.0
294,1.0
295,6.0
296,4.0
297,6.0
298,1.0
299,1.0
300,1.0
301,1.0
302,1.0
303,1.0
304,19.0
305,11.0
306,101.0
307,88.0
308,12.0
309,40.0
310,2.0
311,24.0
312,325.0
313,277.0
314,81.0
315,123.0
316,1.0
317,10.0
318,5.0
319,1.0
320,11.0
321,7.0
322,11.0
323,13.0
324,4.0
325,5.0
326,1.0
327,1.0
328,4.0
329,25.0
330,23.0
331,5.0
332,10.0
333,1.0
334,2.0
335,1.0
336,2.0
337,1.0
338,1.0
339,1.0
340,1.0
341,1.0
342,1.0
343,2.0
344,1.0
345,4.0
346,5.0
347,3.0
348,1.0
349,1.0
350,4.0
351,1.0
352,3.0
353,1.0
354,4.0
355,1.0
356,2.0
357,4.0
358,1.0
359,1.0
360,2.0
361,2.0
362,1.0
363,1.0
364,1.0
365,1.0
366,5.0
367,56.0
368,18.0
369,2.0
370,1.0
371,1.0
372,2.0
373,2.0
374,1.0
375,1.0
376,1.0
377,1.0
378,2.0
379,2.0
380,2.0
381,2.0
382,1.0
383,1.0
384,2.0
385,3.0
386,1.0
387,1.0
388,2.0
389,1.0
390,8.0
391,11.0
392,1.0
393,1.0
394,1.0
395,1.0
396,1.0
397,2.0
398,2.0
399,3.0
400,24.0
401,1.0
402,5.0
403,3.0
404,5.0
405,63.0
406,12.0
407,8.0
408,13.0
409,1.0
410,1.0
411,4.0
412,5.0
413,8.0
414,28.0
415,44.0
416,10.0
417,24.0
418,4.0
419,1.0
420,2.0
421,13.0
422,2.0
423,1.0
424,1.0
425,3.0
426,1.0
427,1.0
428,2.0
429,2.0
430,8.0
431,14.0
432,3.0
433,4.0
434,1.0
435,1.0
436,3.0
437,3.0
438,1.0
439,24.0
440,10.0
441,187.0
442,201.0
443,74.0
444,80.0
445,2.0
446,1.0
447,3.0
448,3.0
449,2.0
450,4.0
451,1.0
452,3.0
453,11.0
454,20.0
455,5.0
456,4.0
457,2.0
458,2.0
459,1.0
460,24.0
461,16.0
462,22.0
463,12.0
464,5.0
465,1.0
466,1.0
467,3.0
468,1.0
469,2.0
470,2.0
471,4.0
472,1.0
473,1.0
474,5.0
475,1.0
476,1.0
477,2.0
478,5.0
479,1.0
480,3.0
481,6.0
482,4.0
483,4.0
484,4.0
485,11.0
486,1.0
487,2.0
488,12.0
489,1.0
490,1.0
491,2.0
492,1.0
493,7.0
494,11.0
495,74.0
496,6.0
497,3.0
498,32.0
499,5.0
500,2.0
501,4.0
502,55.0
503,66.0
504,13.0
505,14.0
506,2.0
507,2.0
508,2.0
509,3.0
510,12.0
511,1.0
512,2.0
513,4.0
514,121.0
515,110.0
516,21.0
517,42.0
518,1.0
519,3.0
520,4.0
521,3.0
522,1.0
523,1.0
524,1.0
525,1.0
526,11.0
527,6.0
528,2.0
529,5.0
530,1.0
531,21.0
532,16.0
533,9.0
534,27.0
535,1.0
536,1.0
537,4.0
538,4.0
539,1.0
540,1.0
541,2.0
542,2.0
543,135.0
544,43.0
545,5.0
546,3.0
547,4.0
548,2.0
549,50.0
550,70.0
551,23.0
552,14.0
553,5.0
554,1.0
555,1.0
556,1.0
557,1.0
558,1.0
559,1.0
560,1.0
561,6.0
562,58.0
563,46.0
564,17.0
565,12.0
566,2.0
567,3.0
568,1.0
569,1.0
570,4.0
571,3.0
572,3.0
573,2.0
574,8.0
575,5.0
576,3.0
577,6.0
578,5.0
579,2.0
580,5.0
581,72.0
582,42.0
583,15.0
584,38.0
585,1.0
586,2.0
587,1.0
588,3.0
589,1.0
590,1.0
591,2.0
592,2.0
593,1.0
594,1.0
595,2.0
596,16.0
597,72.0
598,103.0
599,36.0
600,40.0
601,1.0
602,2.0
603,2.0
604,2.0
605,1.0
606,8.0
607,6.0
608,12.0
609,2.0
610,7.0
611,1.0
612,1.0
613,1.0
614,1.0
615,2.0
616,2.0
617,5.0
618,3.0
619,3.0
620,2.0
621,2.0
622,2.0
623,4.0
624,4.0
625,6.0
626,7.0
627,9.0
628,6.0
629,1.0
630,17.0
631,5.0
632,4.0
633,8.0
634,12.0
635,1.0
636,1.0
637,1.0
638,1.0
639,2.0
640,8.0
641,1.0
642,1.0
643,3.0
644,7.0
645,4.0
646,36.0
647,23.0
648,4.0
649,15.0
650,1.0
651,1.0
652,1.0
653,1.0
654,1.0
655,1.0
656,2.0
657,6.0
658,1.0
659,3.0
660,1.0
661,1.0
662,2.0
663,5.0
664,1.0
665,1.0
