pid,Day
10001_L,14
10003_5 ( 43-46 ),14
10008_XL,14
10013_L,14
10013_M,14
10020_XL,14
10031_43,14
10035_L ( 152-158 ),14
10035_XL ( 158-170 ),14
10035_XS ( 116-128 ),14
10039_46,14
"10042_37,5",14
10043_L,14
10043_XL,14
10046_L,14
10046_M,14
10048_42,14
10050_M,14
10051_XL ( 158-170 ),14
10061_L,14
10062_L,14
10063_L,14
10063_M,14
10063_XL,14
10064_44,14
10064_44 2/3,14
10065_2 ( 37-39 ),14
10065_4 ( 43-45 ),14
10069_35,14
10069_36,14
10069_37 1/3,14
"10070_45,5",14
10073_L ( 40/42 ),14
10073_XL ( 44/46 ),14
"10077_36,5",14
10082_L,14
10084_M,14
10084_S,14
10085_42,14
10093_L ( 152-158 ),14
"10094_45,5",14
10096_L,14
10096_M,14
10096_XL,14
10098_39,14
10102_2XL,14
10102_XL,14
10104_7 ( L ),14
10111_XL,14
10115_44,14
10116_M,14
10119_39 1/3,14
10119_40,14
10119_40 2/3,14
10119_41 1/3,14
10119_44,14
10119_44 2/3,14
10119_45 1/3,14
10119_46,14
10119_46 2/3,14
10125_L,14
10125_M,14
10125_S,14
10125_XL,14
10126_42,14
10126_44,14
10131_152,14
10131_164,14
"10133_44,5",14
10134_33,14
10141_XL ( 44/46 ),14
10144_43,14
10144_44,14
10154_S,14
10157_L,14
10157_M,14
10158_L,14
10158_M,14
10158_XL,14
10160_M,14
10164_L ( 152-158 ),14
10164_M ( 140-152 ),14
10164_S ( 128-140 ),14
10164_XL ( 158-170 ),14
10164_XS ( 116-128 ),14
10165_36,14
10167_M,14
10167_S,14
10168_152,14
10169_2 ( 37-39 ),14
10169_3 ( 40-42 ),14
10169_4 ( 43-45 ),14
10169_5 ( 46-48 ),14
10170_L ( 42-46 ),14
10170_M ( 38-42 ),14
10170_S ( 34-38 ),14
10170_XL (46-50 ),14
10170_XS ( 30-34 ),14
10171_36 2/3,14
10174_L,14
10177_M,14
10183_L ( 42-46 ),14
10183_M ( 38-42 ),14
10186_38,14
10186_38 2/3,14
10194_38/40 ( M / L ),14
10195_L,14
10195_M,14
10195_XL,14
10197_L ( 42-46 ),14
10197_M ( 38-42 ),14
10197_S ( 34-38 ),14
10197_XL (46-50 ),14
10199_42 2/3,14
10207_L,14
10207_M,14
10207_S,14
10208_34,14
10208_36,14
"10208_37,5",14
10210_40,14
"10210_44,5",14
10213_43,14
"10213_44,5",14
10213_45,14
10214_44,14
10219_XL,14
10222_2XL,14
10222_L,14
10222_M,14
10222_S,14
10222_XL,14
10224_42 2/3,14
10227_44 2/3,14
10228_L,14
10228_M,14
10228_XL,14
10230_2 ( 35-38 ),14
10230_3 ( 39-42 ),14
10230_4 ( 43-46 ),14
10230_5 ( 47-49 ),14
"10232_42,5",14
10233_L,14
10234_140,14
10249_L,14
10254_M,14
"10262_35,5",14
10263_L,14
10263_M,14
10263_XL,14
10275_42,14
10275_43,14
10275_44,14
"10275_44,5",14
"10275_45,5",14
10276_L ( 42-46 ),14
10276_S ( 34-38 ),14
10279_4 ( 39-42 ),14
10279_5 ( 43-46 ),14
10282_40 2/3,14
10282_42,14
10282_43 1/3,14
10282_44,14
10283_XL ( 158-170 ),14
10285_XL ( 158-170 ),14
10289_43 1/3,14
10289_45 1/3,14
10289_46,14
10290_L,14
10290_M,14
10290_S,14
10290_XL,14
10297_L,14
10306_L ( 42-46 ),14
10306_M ( 38-42 ),14
10306_S ( 34-38 ),14
10306_XL (46-50 ),14
10312_40,14
10312_40 2/3,14
10312_41 1/3,14
10312_42,14
10312_42 2/3,14
10312_43 1/3,14
10312_44,14
10312_44 2/3,14
10312_45 1/3,14
10312_46,14
10312_46 2/3,14
10319_38,14
10319_40,14
10320_43/46,14
10325_128,14
10325_140,14
10325_152,14
10325_164,14
10331_L ( 152-158 ),14
10331_XL ( 158-170 ),14
10332_39,14
10333_L ( 42-46 ),14
10333_M ( 38-42 ),14
10333_S ( 34-38 ),14
10333_XL (46-50 ),14
10333_XS ( 30-34 ),14
10337_2XL,14
10337_L,14
10339_40,14
10339_41 1/3,14
10339_42,14
10339_44,14
10339_44 2/3,14
10339_45 1/3,14
10343_L,14
10343_M,14
10351_41,14
10353_44,14
10353_44 2/3,14
10353_45 1/3,14
10353_46,14
10361_L,14
10361_M,14
10361_S,14
10361_XL,14
10362_S,14
"10363_XL (46-48,5)",14
10365_L,14
10365_M,14
10365_S,14
10365_XS,14
10368_5 ( 43-46 ),14
10369_40,14
10378_2XL,14
10378_L,14
10378_M,14
10378_S,14
10378_XL,14
10382_L,14
10382_M,14
10383_2 ( Senior ),14
10391_140,14
"10393_42,5",14
10396_2XL,14
10396_L,14
10396_M,14
10396_S,14
10396_XL,14
10400_NA,14
10402_2XL,14
10402_L,14
10402_M,14
10402_S,14
10402_XL,14
10402_XS,14
10405_116,14
10405_128,14
10405_140,14
10405_152,14
10405_164,14
10407_30,14
10407_32,14
10407_35,14
10407_36 2/3,14
10407_37 1/3,14
10407_38 2/3,14
10408_37 1/3,14
10408_38,14
10408_38 2/3,14
10410_4 ( 39-42 ),14
10410_5 ( 43-46 ),14
10413_L,14
10414_L,14
10414_M,14
10414_S,14
10414_XL,14
10415_2XL,14
10415_L,14
10415_M,14
10415_XL,14
10416_39 1/3,14
10416_40,14
10416_40 2/3,14
10416_41 1/3,14
10416_42,14
10416_42 2/3,14
10416_43 1/3,14
10416_44,14
10416_44 2/3,14
10416_45 1/3,14
10416_46,14
10416_46 2/3,14
10416_47 1/3,14
10416_48,14
"10421_40,5",14
10421_41,14
10421_42,14
"10421_42,5",14
10421_43,14
"10421_44,5",14
10421_45,14
10421_46,14
"10421_47,5",14
10425_L,14
10428_S ( 34/36 ),14
10431_44,14
10435_M ( 140-152 ),14
10435_XL ( 158-170 ),14
10439_2XL,14
10439_L,14
10439_M,14
10439_S,14
10439_XL,14
10439_XS,14
10447_2XL,14
10447_L,14
10447_M,14
10447_S,14
10447_XL,14
10452_164,14
10456_L ( 152-158 ),14
10456_M ( 140-152 ),14
10456_S ( 128-140 ),14
10456_XL ( 158-170 ),14
