iter	Passed	Remaining
0	52	5212
1	84	4155
2	110	3569
3	120	2897
4	127	2429
5	137	2147
6	144	1925
7	154	1777
8	161	1632
9	170	1531
10	178	1441
11	185	1358
12	192	1291
13	200	1233
14	208	1180
15	215	1133
16	222	1087
17	229	1045
18	237	1014
19	246	984
20	256	963
21	263	934
22	271	909
23	282	895
24	291	875
25	300	854
26	308	832
27	316	814
28	324	793
29	331	772
30	339	756
31	347	737
32	354	720
33	366	711
34	373	694
35	382	680
36	389	663
37	398	650
38	406	635
39	413	620
40	421	606
41	429	592
42	436	579
43	445	566
44	453	553
45	462	542
46	469	529
47	477	517
48	486	506
49	494	494
50	503	483
51	510	471
52	521	462
53	529	450
54	536	439
55	545	428
56	553	417
57	563	407
58	570	396
59	578	385
60	587	375
61	595	364
62	604	354
63	611	344
64	618	333
65	628	323
66	635	313
67	645	303
68	654	293
69	661	283
70	671	274
71	679	264
72	687	254
73	695	244
74	705	235
75	712	225
76	720	215
77	729	205
78	736	195
79	743	185
80	752	176
81	759	166
82	769	157
83	776	147
84	783	138
85	793	129
86	802	119
87	813	110
88	822	101
89	833	92
90	845	83
91	856	74
92	863	65
93	874	55
94	880	46
95	891	37
96	899	27
97	908	18
98	915	9
99	923	0
