,units,date
0,2.0,2018-01-23
1,1.0,2018-01-30
2,4.0,2018-01-30
3,1.0,2018-01-24
4,3.0,2018-01-25
5,1.0,2018-01-18
6,1.0,2018-01-11
7,1.0,2018-01-26
8,4.0,2018-01-16
9,1.0,2018-01-31
10,1.0,2018-01-01
11,1.0,2018-01-07
12,3.0,2018-01-31
13,2.0,2018-01-30
14,1.0,2018-01-31
15,3.0,2018-01-15
16,1.0,2018-01-10
17,1.0,2018-01-25
18,1.0,2018-01-02
19,3.0,2018-01-13
20,2.0,2018-01-26
21,21.0,2018-01-31
22,30.0,2018-01-31
23,5.0,2018-01-30
24,2.0,2018-01-31
25,1.0,2018-01-25
26,20.0,2018-01-24
27,3.0,2018-01-18
28,2.0,2018-01-31
29,5.0,2018-01-31
30,2.0,2018-01-25
31,1.0,2018-01-27
32,35.0,2018-01-29
33,15.0,2018-01-30
34,1.0,2018-01-09
35,1.0,2018-01-14
36,3.0,2018-01-30
37,2.0,2018-01-24
38,1.0,2018-01-09
39,4.0,2018-01-31
40,1.0,2018-01-19
41,9.0,2018-01-27
42,7.0,2018-01-27
43,5.0,2018-01-27
44,1.0,2018-01-01
45,1.0,2018-01-18
46,4.0,2018-01-26
47,1.0,2018-01-17
48,4.0,2018-01-18
49,1.0,2018-01-14
50,3.0,2018-01-30
51,1.0,2018-01-13
52,1.0,2018-01-15
53,2.0,2018-01-17
54,2.0,2018-01-30
55,1.0,2018-01-25
56,2.0,2018-01-26
57,3.0,2018-01-31
58,3.0,2018-01-31
59,2.0,2018-01-31
60,64.0,2018-01-22
61,52.0,2018-01-28
62,6.0,2018-01-22
63,20.0,2018-01-25
64,2.0,2018-01-09
65,1.0,2018-01-21
66,2.0,2018-01-20
67,3.0,2018-01-24
68,1.0,2018-01-30
69,1.0,2018-01-30
70,1.0,2018-01-15
71,1.0,2018-01-11
72,2.0,2018-01-23
73,4.0,2018-01-09
74,1.0,2018-01-31
75,6.0,2018-01-30
76,20.0,2018-01-31
77,25.0,2018-01-31
78,3.0,2018-01-24
79,2.0,2018-01-30
80,4.0,2018-01-20
81,7.0,2018-01-29
82,1.0,2018-01-22
83,8.0,2018-01-31
84,1.0,2018-01-02
85,1.0,2018-01-30
86,2.0,2018-01-31
87,3.0,2018-01-31
88,1.0,2018-01-16
89,2.0,2018-01-31
90,15.0,2018-01-24
91,51.0,2018-01-31
92,8.0,2018-01-30
93,35.0,2018-01-31
94,14.0,2018-01-31
95,2.0,2018-01-30
96,5.0,2018-01-26
97,1.0,2018-01-26
98,1.0,2018-01-01
99,1.0,2018-01-19
100,2.0,2018-01-31
101,1.0,2018-01-07
102,1.0,2018-01-12
103,1.0,2018-01-29
104,1.0,2018-01-29
105,1.0,2018-01-14
106,5.0,2018-01-28
107,1.0,2018-01-16
108,1.0,2018-01-30
109,79.0,2018-01-31
110,44.0,2018-01-31
111,7.0,2018-01-31
112,7.0,2018-01-31
113,1.0,2018-01-24
114,1.0,2018-01-29
115,3.0,2018-01-15
116,1.0,2018-01-31
117,1.0,2018-01-19
118,2.0,2018-01-17
119,1.0,2018-01-09
120,3.0,2018-01-12
121,2.0,2018-01-25
122,1.0,2018-01-25
123,1.0,2018-01-30
124,1.0,2018-01-30
125,3.0,2018-01-18
126,3.0,2018-01-07
127,1.0,2018-01-17
128,4.0,2018-01-31
129,4.0,2018-01-29
130,1.0,2018-01-17
131,4.0,2018-01-23
132,1.0,2018-01-20
133,1.0,2018-01-29
134,8.0,2018-01-31
135,12.0,2018-01-31
136,3.0,2018-01-31
137,1.0,2018-01-15
138,2.0,2018-01-02
